attendance_id,student_id,date,status,remarks
ATT001,STU001,2024-01-15,Present,
ATT002,STU002,2024-01-15,Present,
ATT003,STU003,2024-01-15,Absent,Medical leave
ATT004,STU004,2024-01-15,Present,
ATT005,STU005,2024-01-15,Absent,No reason provided
ATT006,STU006,2024-01-15,Present,
ATT007,STU007,2024-01-15,Present,
ATT008,STU008,2024-01-15,Late,Traffic delay
ATT009,STU009,2024-01-15,Present,
ATT010,STU010,2024-01-15,Present,
ATT011,STU011,2024-01-15,Absent,Family emergency
ATT012,STU012,2024-01-15,Present,
ATT013,STU013,2024-01-15,Present,
ATT014,STU014,2024-01-15,Present,
ATT015,STU015,2024-01-15,Present,
ATT016,STU016,2024-01-15,Absent,Personal reasons
ATT017,STU017,2024-01-15,Present,
ATT018,STU018,2024-01-15,Present,
ATT019,STU019,2024-01-15,Present,
ATT020,STU020,2024-01-15,Present,
ATT021,STU021,2024-01-15,Absent,No reason provided
ATT022,STU022,2024-01-15,Present,
ATT023,STU023,2024-01-15,Present,
ATT024,STU024,2024-01-15,Present,
ATT025,STU025,2024-01-15,Absent,Medical leave
ATT026,STU026,2024-01-15,Present,
ATT027,STU027,2024-01-15,Present,
ATT028,STU028,2024-01-15,Late,Bus delay
ATT029,STU029,2024-01-15,Present,
ATT030,STU030,2024-01-15,Present,
ATT031,STU031,2024-01-15,Absent,Family emergency
ATT032,STU032,2024-01-15,Present,
ATT033,STU033,2024-01-15,Present,
ATT034,STU034,2024-01-15,Present,
ATT035,STU035,2024-01-15,Present,
ATT036,STU036,2024-01-15,Present,
ATT037,STU037,2024-01-15,Absent,Personal reasons
ATT038,STU038,2024-01-15,Present,
ATT039,STU039,2024-01-15,Present,
ATT040,STU040,2024-01-15,Absent,Medical leave
ATT041,STU041,2024-01-15,Present,
ATT042,STU042,2024-01-15,Present,
ATT043,STU043,2024-01-15,Present,
ATT044,STU044,2024-01-15,Present,
ATT045,STU045,2024-01-15,Absent,No reason provided
ATT046,STU046,2024-01-15,Present,
ATT047,STU047,2024-01-15,Present,
ATT048,STU048,2024-01-15,Present,
ATT049,STU049,2024-01-15,Absent,Family emergency
ATT050,STU050,2024-01-15,Present,
ATT051,STU051,2024-01-15,Present,
ATT052,STU052,2024-01-15,Late,Traffic delay
ATT053,STU053,2024-01-15,Present,
ATT054,STU054,2024-01-15,Present,
ATT055,STU055,2024-01-15,Absent,Personal reasons
ATT056,STU056,2024-01-15,Present,
ATT057,STU057,2024-01-15,Present,
ATT058,STU058,2024-01-15,Present,
ATT059,STU059,2024-01-15,Present,
ATT060,STU060,2024-01-15,Present,
ATT061,STU061,2024-01-15,Absent,Medical leave
ATT062,STU062,2024-01-15,Present,
ATT063,STU063,2024-01-15,Present,
ATT064,STU064,2024-01-15,Absent,No reason provided
ATT065,STU065,2024-01-15,Present,
ATT066,STU066,2024-01-15,Present,
ATT067,STU067,2024-01-15,Present,
ATT068,STU068,2024-01-15,Present,
ATT069,STU069,2024-01-15,Absent,Family emergency
ATT070,STU070,2024-01-15,Present,
ATT071,STU071,2024-01-15,Present,
ATT072,STU072,2024-01-15,Present,
ATT073,STU073,2024-01-15,Absent,Personal reasons
ATT074,STU074,2024-01-15,Present,
ATT075,STU075,2024-01-15,Present,
ATT076,STU076,2024-01-15,Late,Bus delay
ATT077,STU077,2024-01-15,Present,
ATT078,STU078,2024-01-15,Present,
ATT079,STU079,2024-01-15,Absent,Medical leave
ATT080,STU080,2024-01-15,Present,
ATT081,STU081,2024-01-15,Present,
ATT082,STU082,2024-01-15,Present,
ATT083,STU083,2024-01-15,Present,
ATT084,STU084,2024-01-15,Present,
ATT085,STU085,2024-01-15,Absent,No reason provided
ATT086,STU086,2024-01-15,Present,
ATT087,STU087,2024-01-15,Present,
ATT088,STU088,2024-01-15,Absent,Family emergency
ATT089,STU089,2024-01-15,Present,
ATT090,STU090,2024-01-15,Present,
ATT091,STU091,2024-01-15,Present,
ATT092,STU092,2024-01-15,Present,
